DisplayName,Types,Latitude,Longitude,Rating,UserRatingCount,FormattedAddress,WebsiteUri,InternationalPhoneNumber,PriceLevel,EditorialSummary,OpenNow,WeekdayDescriptions
Bouillon Chartier Grands Boulevards,"['french_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.871933299999995,2.3430535,4.1,28046.0,"7 Rue du Faubourg Montmartre, 75009 Paris, France",http://www.bouillon-chartier.com/,+33 1 47 70 86 29,PRICE_LEVEL_INEXPENSIVE,"Long-standing restaurant offering regional fare, wine & desserts in an elegant, art nouveau space.",True,"['Monday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 11:30\u202fAM\u2009–\u200912:00\u202fAM']"
Angelina,"['restaurant', 'coffee_shop', 'cafe', 'bakery', 'tea_house', 'french_restaurant', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",48.8650898,2.3284434,4.3,16559.0,"226 Rue de Rivoli, 75001 Paris, France",https://www.angelina-paris.fr/adresses/paris-rivoli,+33 1 42 60 82 00,PRICE_LEVEL_EXPENSIVE,Legendary 1903 tea room offering refined pastries & hot chocolate in a belle epoque-style setting.,True,"['Monday: 7:30\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20097:30\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20097:30\u202fPM']"
Bouillon Chartier,"['french_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.844290799999996,2.3233219,4.3,15130.0,"59 Bd du Montparnasse, 75006 Paris, France",http://www.bouillon-chartier.com/,+33 1 45 49 19 00,PRICE_LEVEL_MODERATE,Classic French dishes served in a traditional Parisian brasserie with opulent art nouveau decor.,True,"['Monday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 11:30\u202fAM\u2009–\u200912:00\u202fAM']"
UGC Cine Cite les Halles,"['movie_theater', 'candy_store', 'confectionery', 'food_store', 'store', 'korean_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8627791,2.3428139,3.9,10369.0,"7 place De La Rotonde, 75001 Paris, France",https://www.ugc.fr/cinema.html?id=10,+33 826 88 07 00,,,True,"['Monday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u20091:00\u202fAM']"
Pink Mamma,"['italian_restaurant', 'pizza_restaurant', 'mediterranean_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.881946899999996,2.3345309,4.7,38826.0,"20bis Rue de Douai, 75009 Paris, France",https://www.bigmammagroup.com/italian-restaurants/pink-mamma?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,+33 9 73 03 40 29,PRICE_LEVEL_MODERATE,,False,"['Monday: 12:00\u2009–\u20092:15\u202fPM, 6:00\u2009–\u200910:45\u202fPM', 'Tuesday: 12:00\u2009–\u20092:15\u202fPM, 6:00\u2009–\u200910:45\u202fPM', 'Wednesday: 12:00\u2009–\u20092:15\u202fPM, 6:00\u2009–\u200910:45\u202fPM', 'Thursday: 12:00\u2009–\u20092:15\u202fPM, 6:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u20092:15\u202fPM, 6:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u20094:00\u202fPM, 6:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u20094:00\u202fPM, 6:00\u2009–\u200910:45\u202fPM']"
Bouillon République,"['restaurant', 'butcher_shop', 'french_restaurant', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",48.8660129,2.3647516,4.7,29187.0,"39 Bd du Temple, 75003 Paris, France",https://bouillonlesite.com/bouillon-republique,+33 1 42 59 69 31,PRICE_LEVEL_INEXPENSIVE,"Plush restaurant with an old-world vibe serving classic broth, plus seafood dishes & desserts.",True,"['Monday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u200912:00\u202fAM']"
Chez Janou,"['french_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8567159,2.3671983,4.3,5726.0,"2 Rue Roger Verlomme, 75003 Paris, France",http://www.chezjanou.com/,+33 1 42 72 28 41,PRICE_LEVEL_MODERATE,"Mellow option serving Provençal-style dishes in a convivial setting, plus an extensive pastis list.",True,"['Monday: 8:30\u202fAM\u2009–\u20092:00\u202fAM', 'Tuesday: 8:30\u202fAM\u2009–\u20092:00\u202fAM', 'Wednesday: 8:30\u202fAM\u2009–\u20092:00\u202fAM', 'Thursday: 8:30\u202fAM\u2009–\u20092:00\u202fAM', 'Friday: 8:30\u202fAM\u2009–\u20092:00\u202fAM', 'Saturday: 8:30\u202fAM\u2009–\u20092:00\u202fAM', 'Sunday: 8:30\u202fAM\u2009–\u20092:00\u202fAM']"
Relais de l'Entrecôte,"['french_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.854620999999995,2.3328647,4.2,7055.0,"20 Rue Saint-Benoît, 75006 Paris, France",http://www.relaisentrecote.fr/,+33 1 45 49 16 00,PRICE_LEVEL_MODERATE,,False,"['Monday: 12:00\u2009–\u20092:30\u202fPM, 6:30\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u20092:30\u202fPM, 6:30\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u20092:30\u202fPM, 6:30\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u20092:30\u202fPM, 6:30\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u20092:30\u202fPM, 6:30\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u20093:00\u202fPM, 6:30\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u20093:00\u202fPM, 6:30\u2009–\u200911:00\u202fPM']"
Galeries Lafayette Le Gourmet,"['deli', 'bakery', 'dessert_shop', 'confectionery', 'grocery_store', 'food_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.873153699999996,2.3304052,4.6,6586.0,"35 Bd Haussmann, 75009 Paris, France",https://gourmet.galerieslafayette.com/?utm_campaign=gmb&utm_content=Fiche_GLGourmet&utm_medium=seo&utm_source=gmb,+33 1 40 23 52 67,PRICE_LEVEL_MODERATE,"Breads, pastries, deli fare & desserts offered in an expansive, renowned food court.",True,"['Monday: 9:30\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20098:00\u202fPM']"
Arab World Institute,"['cultural_center', 'movie_theater', 'tourist_attraction', 'library', 'book_store', 'museum', 'store', 'restaurant', 'food', 'event_venue', 'point_of_interest', 'establishment']",48.848925699999995,2.3572313,4.2,2313.0,"1 Rue des Fossés Saint-Bernard, 75005 Paris, France",http://www.imarabe.org/,+33 1 40 51 38 38,,"Striking, 10-story building with latticed windows, housing Islamic cultural exhibitions, plus cafe.",True,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20097:00\u202fPM']"
